Antecedants,Consequents,Confidence
57,60,0.552
57,61,0.450666667
61,57,0.563333333
57,69,0.368
69,57,0.291139241
57,128,0.381333333
128,57,0.233278956
57,217,0.357333333
217,57,0.156542056
60,58,0.449848024
58,60,0.552238806
58,61,0.555970149
61,58,0.496666667
60,59,0.425531915
59,60,0.542635659
61,59,0.44
59,61,0.511627907
60,61,0.492401216
61,60,0.54
60,177,0.434650456
177,60,0.336470588
217,62,0.153037383
62,217,0.430921053
203,63,0.58974359
63,203,0.509225092
65,64,0.537521815
64,65,0.635051546
87,64,0.206299213
64,87,0.270103093
99,64,0.605714286
64,99,0.437113402
100,64,0.400593472
64,100,0.278350515
118,64,0.306643952
64,118,0.371134021
155,64,0.402597403
64,155,0.319587629
162,64,0.164585698
64,162,0.298969072
183,64,0.209375
64,183,0.27628866
204,64,0.436507937
64,204,0.340206186
64,206,0.27628866
206,64,0.234676007
64,217,0.546391753
217,64,0.309579439
218,64,0.644736842
64,218,0.303092784
222,64,0.344387755
64,222,0.278350515
224,64,0.329268293
64,224,0.278350515
65,87,0.256544503
87,65,0.231496063
65,99,0.328097731
99,65,0.537142857
65,100,0.246073298
100,65,0.418397626
65,110,0.237347295
110,65,0.255639098
65,118,0.34904014
118,65,0.340715503
65,131,0.277486911
131,65,0.224576271
65,155,0.263525305
155,65,0.392207792
65,162,0.294938918
162,65,0.191827469
65,183,0.284467714
183,65,0.2546875
65,204,0.390924956
204,65,0.592592593
65,206,0.27574171
206,65,0.276707531
65,217,0.464223386
217,65,0.310747664
65,222,0.265270506
222,65,0.387755102
65,224,0.27399651
224,65,0.382926829
65,228,0.228621291
228,65,0.421221865
100,66,0.652818991
66,100,0.611111111
66,162,0.405555556
162,66,0.165720772
66,217,0.491666667
217,66,0.206775701
75,67,0.262569832
67,75,0.328671329
76,67,0.242582897
67,76,0.324009324
162,67,0.187287174
67,162,0.384615385
183,67,0.2625
67,183,0.391608392
67,217,0.331002331
217,67,0.16588785
68,69,0.547468354
69,68,0.364978903
68,70,0.518987342
70,68,0.504615385
68,177,0.477848101
177,68,0.355294118
69,70,0.407172996
70,69,0.593846154
87,69,0.22992126
69,87,0.308016878
101,69,0.601265823
69,101,0.400843882
128,69,0.247960848
69,128,0.320675105
131,69,0.194915254
69,131,0.291139241
145,69,0.485915493
69,145,0.291139241
162,69,0.183881952
69,162,0.341772152
169,69,0.417789757
69,169,0.327004219
69,177,0.392405063
177,69,0.437647059
183,69,0.21875
69,183,0.29535865
69,217,0.348101266
217,69,0.192757009
70,177,0.436923077
177,70,0.334117647
71,154,0.569037657
154,71,0.660194175
117,72,0.704663212
72,117,0.361702128
156,72,0.671232877
72,156,0.521276596
162,72,0.166855846
72,162,0.390957447
183,72,0.2609375
72,183,0.444148936
73,74,0.8
74,73,0.733333333
76,75,0.452006981
75,76,0.482309125
87,75,0.240944882
75,87,0.284916201
75,110,0.273743017
110,75,0.276315789
119,75,0.37254902
75,119,0.247672253
122,75,0.334146341
75,122,0.255121043
75,124,0.389199255
124,75,0.329133858
128,75,0.265905383
75,128,0.303538175
130,75,0.280851064
75,130,0.245810056
75,131,0.297951583
131,75,0.225988701
151,75,0.375796178
75,151,0.329608939
162,75,0.224744608
75,162,0.368715084
75,179,0.247672253
179,75,0.411764706
183,75,0.346875
75,183,0.413407821
185,75,0.319915254
75,185,0.281191806
75,189,0.329608939
189,75,0.410672854
191,75,0.391857506
75,191,0.286778399
193,75,0.404371585
75,193,0.275605214
75,206,0.292364991
206,75,0.274956217
75,217,0.284916201
217,75,0.178738318
76,87,0.27399651
87,76,0.247244094
76,110,0.246073298
110,76,0.265037594
76,118,0.237347295
118,76,0.231686542
76,119,0.228621291
119,76,0.366946779
76,122,0.242582897
122,76,0.33902439
76,124,0.333333333
124,76,0.300787402
76,128,0.310645724
128,76,0.290375204
76,130,0.237347295
130,76,0.289361702
76,131,0.272251309
131,76,0.220338983
76,151,0.342059337
151,76,0.416135881
76,162,0.389179756
162,76,0.253121453
76,172,0.228621291
172,76,0.309692671
76,183,0.436300175
183,76,0.390625
76,185,0.268760908
185,76,0.326271186
76,189,0.326352531
189,76,0.43387471
76,191,0.296684119
191,76,0.432569975
76,193,0.235602094
193,76,0.368852459
76,206,0.280977312
206,76,0.281961471
76,217,0.293193717
217,76,0.196261682
77,79,0.464052288
79,77,0.358585859
77,80,0.447712418
80,77,0.398255814
77,85,0.532679739
85,77,0.438172043
77,86,0.447712418
86,77,0.444805195
77,87,0.735294118
87,77,0.354330709
77,90,0.496732026
90,77,0.482539683
77,93,0.434640523
93,77,0.352785146
77,95,0.516339869
95,77,0.421333333
77,97,0.490196078
97,77,0.45045045
77,102,0.434640523
102,77,0.290393013
77,110,0.434640523
110,77,0.25
78,79,0.462915601
79,78,0.457070707
78,80,0.406649616
80,78,0.462209302
78,81,0.345268542
81,78,0.451505017
78,84,0.342710997
84,78,0.511450382
78,85,0.396419437
85,78,0.416666667
78,87,0.57544757
87,78,0.354330709
78,91,0.503836317
91,78,0.688811189
78,92,0.429667519
92,78,0.462809917
78,93,0.414322251
93,78,0.429708223
78,95,0.340153453
95,78,0.354666667
78,102,0.381074169
102,78,0.325327511
78,103,0.350383632
103,78,0.363395225
78,104,0.363171355
104,78,0.354114713
78,105,0.368286445
105,78,0.300626305
78,109,0.383631714
109,78,0.337837838
78,110,0.411764706
110,78,0.302631579
78,111,0.375959079
111,78,0.3
78,128,0.406649616
128,78,0.259380098
79,80,0.472222222
80,79,0.543604651
79,81,0.391414141
81,79,0.518394649
79,84,0.388888889
84,79,0.58778626
79,85,0.446969697
85,79,0.475806452
79,86,0.383838384
86,79,0.493506494
87,79,0.381102362
79,87,0.611111111
79,89,0.358585859
89,79,0.574898785
79,90,0.396464646
90,79,0.498412698
79,91,0.351010101
91,79,0.486013986
79,92,0.446969697
92,79,0.487603306
79,93,0.48989899
93,79,0.514588859
79,95,0.406565657
95,79,0.429333333
79,97,0.439393939
97,79,0.522522523
102,79,0.336244541
79,102,0.388888889
103,79,0.50132626
79,103,0.477272727
79,104,0.404040404
104,79,0.399002494
79,105,0.421717172
